#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abermagwr;Abermagwr;Abermagwr;Abermagwr;;Abermagwr;;;;;;;;;x
b_abermagwr_adj;Abermagwrian;;abermagwrer;;;;;;;;;;;x
b_abermagwr_2;Abermagwr;Abermagwr;Abermagwr;;Abermagwr;;;;;;;;;x
b_abermagwr_2_adj;Abermagwrian;;abermagwrer;;;;;;;;;;;x
b_abermagwr_3;Abermagwr;Abermagwr;Abermagwr;;Abermagwr;;;;;;;;;x
b_abermagwr_3_adj;Abermagwrian;;abermagwrer;;;;;;;;;;;x
b_abermagwr_4;Abermagwr;Abermagwr;Abermagwr;;Abermagwr;;;;;;;;;x
b_abermagwr_4_adj;Abermagwrian;;abermagwrer;;;;;;;;;;;x
b_abermagwr_5;Abermagwr;Abermagwr;Abermagwr;;Abermagwr;;;;;;;;;x
b_abermagwr_5_adj;Abermagwrian;;abermagwrer;;;;;;;;;;;x
b_abermagwr_6;Abermagwr;Abermagwr;Abermagwr;;Abermagwr;;;;;;;;;x
b_abermagwr_6_adj;Abermagwrian;;abermagwrer;;;;;;;;;;;x
b_abermagwr_7;Abermagwr;Abermagwr;Abermagwr;;Abermagwr;;;;;;;;;x
b_abermagwr_7_adj;Abermagwrian;;abermagwrer;;;;;;;;;;;x
b_abona;Abona;Abona;Abona;;Abona;;;;;;;;;x
b_abona_adj;Abonan;;aboner;;;;;;;;;;;x
b_abona_2;Abona;Abona;Abona;;Abona;;;;;;;;;x
b_abona_2_adj;Abonan;;aboner;;;;;;;;;;;x
b_abona_3;Abona;Abona;Abona;;Abona;;;;;;;;;x
b_abona_3_adj;Abonan;;aboner;;;;;;;;;;;x
b_abona_4;Abona;Abona;Abona;;Abona;;;;;;;;;x
b_abona_4_adj;Abonan;;aboner;;;;;;;;;;;x
b_abona_5;Abona;Abona;Abona;;Abona;;;;;;;;;x
b_abona_5_adj;Abonan;;aboner;;;;;;;;;;;x
